author,book_id,inputdate,price,title,upaddress,url
陈伟,1412360603, /2008-03-01,¥31.20, 动漫色彩构成(动画专业系列教材) 陈伟 著作,清华大学出版社,https://product.dangdang.com/1412360603.html
编者:余春娜//孔中,11129536107, /2016-01-01,¥36.75, 动漫产业分析与衍生品开发(普通高等教育动画类专业十二五规划教材),清华大学,https://product.dangdang.com/11129536107.html
"姚桂萍,贾建民 编著",1043430157, /2017-07-01,¥53.30, 动漫影视作品赏析 清华大学出版社,清华大学出版社,https://product.dangdang.com/1043430157.html
"姚桂萍,贾建民 编著",1421520103, /2017-07-01,¥48.20," 动漫影视作品赏析 姚桂萍,贾建民 编著",清华大学出版社,https://product.dangdang.com/1421520103.html
林郦 编,1220239006, /2011-11-01,¥23.20, 大学动漫英语(上册) 林郦 编,对外经济贸易大学出版社,https://product.dangdang.com/1220239006.html
(日)鸟羽雨//猫枯丽//米卡皮卡早|译者:联合优创...,1237326915, /2018-08-01,¥31.96, 优动漫PAINT(决定成为插画师),北京美术摄影,https://product.dangdang.com/1237326915.html
编者:帅神|责编:张晶晶,1829459040, /2021-01-01,¥23.51, 节水动漫教育与水资源管理,浙江工商大学,https://product.dangdang.com/1829459040.html
林骊 编,1224682406, /2011-11-01,¥24.10, 大学动漫英语(下册) 林骊 编,对外经济贸易大学出版社,https://product.dangdang.com/1224682406.html
（英国）3dtotal Publishing（3dtotal出版...,11186628024, /2022-06-01,¥37.51, 游戏动漫超级女英雄造型设计技法,电子工业,https://product.dangdang.com/11186628024.html
林郦 编,1224682306, /2011-11-01,¥11.20, 大学动漫英语(下册)辅导用书 林郦 编,对外经济贸易大学出版社,https://product.dangdang.com/1224682306.html
C·C动漫社 编著,11739062010, /2012-07-01,¥34.36, 超级动漫大图鉴--Q版篇 C·C动漫社 编著 中国青年出版社【正版】,中国青年出版社,https://product.dangdang.com/11739062010.html
"(日) 少年星期天编辑部 编,张敏 译",11750782061, /2016-09-01,¥31.55," 优动漫PAINT漫画技法基础入门 (日) 少年星期天辑部 ,张敏 中国青年出版社【正.版】",中国青年出版社,https://product.dangdang.com/11750782061.html
